Protein	Original Contig	Protein FDR Confidence: Combined	Master	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Modifications	Cd_1	Cd_2	Cd_3	Ni_1	Ni_2	Ni_3	Cr_1	Cr_2	Cr_3	CK_1	CK_2	CK_3
WP_119336123.1	custom_921566_1	High	IsMasterProtein	0	5.995	7	2	3	1	1	7.55	2	0	-	691	408	1311	1589	1642	1473	1368	0	505	709	194	0
KXK27170.1	custom_666004_156	High	IsMasterProtein	0	5.992	9	2	6	1	1	14.84	2	0	-	3023	3201	3385	0	0	0	11189	14324	10465	1077	0	803
custom_1153668_82	custom_1153668_82	High	IsMasterProtein	0	5.991	5	2	9	1	1	21.18	2	0	-	15714	14360	13880	457	488	399	9242	11141	8653	453	640	1290
custom_1071970_2	custom_1071970_2	High	IsMasterProtein	0	5.991	4	1	4	1	1	14.83	1	0	-	3772	3390	3131	0	0	497	0	0	0	0	339	0
custom_228124_12	custom_228124_12	High	IsMasterProtein	0	5.987	21	2	13	1	1	32.59	2	1	-	11998	12770	11423	14525	14027	11622	0	0	0	4918	4512	4267
custom_1063998_11	custom_1063998_11	High	IsMasterProtein	0	5.986	18	2	2	2	1	6.21	2	0	-	639	928	1391	534	656	673	0	0	0	0	360	0
RTL31293.1	custom_2018298_2	High	IsMasterProtein	0	5.985	13	2	3	2	1	8.04	2	0	-	542	989	1044	0	712	1038	1078	0	1284	1495	1412	1626
WP_008583723.1	custom_2023275_1	High	IsMasterProtein	0	5.984	5	2	3	0	1	7.25	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_035708607.1	custom_2216647_2	High	IsMasterProtein	0	5.983	21	2	6	0	1	16.76	2	1	-	1030	1011	1101	0	0	0	4866	2012	0	2322	2856	2495
WP_110883491.1	custom_1404914_1	High	IsMasterProtein	0	5.983	6	2	5	1	1	11.14	2	0	-	0	466	0	0	0	0	0	1029	1635	983	945	1035
WP_090070101.1	custom_1343870_4	High	IsMasterProtein	0	5.982	7	1	2	1	1	7.29	1	0	-	0	0	0	0	0	0	2602	2927	2547	0	0	0
custom_1018498_7	custom_1018498_7	High	IsMasterProtein	0	5.977	9	2	4	1	1	11.71	2	0	-	741	538	588	5059	4546	4486	0	0	0	0	0	0
WP_124799605.1	custom_2433266_1	High	IsMasterProtein	0	5.973	4	2	2	2	1	6.41	2	0	-	1084	1014	1040	0	117	0	0	0	0	0	0	0
WP_011767053.1	custom_1832658_18	High	IsMasterProtein	0	5.972	9	2	8	1	1	24.69	2	0	-	1342	1503	1586	4212	5203	5450	0	0	0	151	290	232
WP_092859977.1	custom_2295938_1	High	IsMasterProtein	0	5.97	6	2	4	1	1	9.22	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
RIK76609.1	custom_1039463_1	High	IsMasterProtein	0	5.965	3	1	12	1	1	35.19	1	0	-	2566	0	2474	8537	8320	11764	33227	1432	1084	8027	10347	2092
WP_110390903.1	custom_1639269_1	High	IsMasterProtein	0	5.964	6	1	2	1	1	7.7	1	0	-	0	224	0	643	0	0	2780	0	0	698	0	0
custom_2503648_25	custom_2503648_25	High	IsMasterProtein	0	5.964	16	1	2	1	1	7.18	1	0	-	1201	949	972	0	331	0	0	0	1201	1491	0	0
EUJ10527.1	custom_381509_5	High	IsMasterProtein	0	5.963	9	2	3	1	1	9.05	2	0	-	341	250	176	0	0	0	0	0	0	1919	2073	1910
WP_087282398.1	custom_1911868_1	High	IsMasterProtein	0	5.961	6	2	9	1	1	23.27	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2148052_43	custom_2148052_43	High	IsMasterProtein	0	5.96	15	2	7	1	1	18.64	2	0	-	0	0	0	0	0	0	0	0	0	6432	5169	5701
WP_111537168.1	custom_239983_7	High	IsMasterProtein	0	5.958	8	2	3	2	1	5.21	2	0	-	1509	0	0	972	524	0	16247	727	0	0	1346	973
TAH46228.1	custom_1383221_1	High	IsMasterProtein	0	5.957	6	2	3	2	1	6.96	2	0	-	2882	3970	4070	579	324	189	2620	2841	997	419	186	181
custom_909983_3	custom_909983_3	High	IsMasterProtein	0	5.956	11	2	3	1	1	6.85	2	0	-	660	738	668	0	467	422	0	0	1847	0	0	0
APG95100.1	custom_2126940_1	High	IsMasterProtein	0	5.955	16	2	6	2	1	8.74	2	0	-	4336	3435	3310	235	93	0	0	0	0	1460	1882	2165
custom_1200680_2	custom_1200680_2	High	IsMasterProtein	0	5.955	7	2	4	2	1	9.86	2	0	-	954	826	659	3430	4107	3558	0	6500	6012	0	247	771
custom_288991_2	custom_288991_2	High	IsMasterProtein	0	5.95	27	2	5	2	1	14.6	2	0	-	0	1417	1116	2330	2264	2434	0	0	0	3089	3015	2591
custom_1534863_6	custom_1534863_6	High	IsMasterProtein	0	5.949	17	1	4	1	1	11.48	1	0	-	368	677	1063	5492	5436	6054	0	0	0	0	0	0
WP_137098601.1	custom_333048_1	High	IsMasterProtein	0	5.945	8	3	3	1	1	5.78	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1556551_1	custom_1556551_1	High	IsMasterProtein	0	5.945	4	2	4	2	1	14.46	2	0	-	0	1205	0	4994	4306	3024	0	1962	1902	738	564	1080
WP_091936878.1	custom_152191_4	High	IsMasterProtein	0	5.943	4	2	10	1	1	27.17	2	0	-	0	367	580	2649	3436	3152	0	0	0	0	0	0
WP_096433913.1	custom_125586_3	High	IsMasterProtein	0	5.943	9	2	6	1	1	17.02	2	1	-	3317	3607	3033	4119	5760	4537	2133	2211	6870	1228	1645	1628
WP_136771953.1	custom_1081762_10	High	IsMasterProtein	0	5.936	3	2	3	1	1	5.23	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_076507683.1	custom_2524029_1	High	IsMasterProtein	0	5.932	5	2	4	1	1	10.97	2	0	-	769	0	0	1138	2110	1692	2363	2190	2144	1222	1062	993
PKO83537.1	custom_2026171_1	High	IsMasterProtein	0	5.931	11	2	4	1	1	10.71	2	0	-	3224	3022	3433	2499	3416	3179	0	0	0	4821	4779	4467
WP_067193642.1	custom_461115_1	High	IsMasterProtein	0	5.93	2	1	3	1	1	5.77	1	0	-	793	940	1334	525	1470	1538	0	0	0	357	190	1868
SBT09004.1	custom_14412_45	High	IsMasterProtein	0	5.93	10	2	2	1	1	5.82	2	0	-	490	0	0	361	420	317	0	0	0	0	0	0
custom_2414235_19	custom_2414235_19	High	IsMasterProtein	0	5.929	6	3	7	1	1	15.02	3	0	-	0	0	0	0	488	513	1865	1416	1210	952	927	995
OGA25411.1	custom_857270_1	High	IsMasterProtein	0	5.929	8	2	6	1	1	13.2	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_095741366.1	custom_315751_1	High	IsMasterProtein	0	5.923	1	1	3	1	1	5.72	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
ODV00626.1	custom_2069512_9	High	IsMasterProtein	0	5.92	4	2	2	1	1	5.36	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
KFB66756.1	custom_2336385_1	High	IsMasterProtein	0	5.92	14	2	4	2	1	9.97	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PKO90843.1	custom_151046_1	High	IsMasterProtein	0	5.919	3	2	2	2	1	5.03	2	0	-	514	616	471	0	0	0	2333	3129	4162	712	0	1217
custom_301458_16	custom_301458_16	High	IsMasterProtein	0	5.919	7	2	3	2	1	6.6	2	0	-	2442	1649	1801	325	171	285	0	8896	0	276	0	0
WP_011286249.1	custom_2184276_5	High	IsMasterProtein	0	5.916	14	2	4	1	1	9.98	2	0	-	2109	2254	2152	753	503	673	2186	1564	1996	0	1055	0
RTL58132.1	custom_41863_7	High	IsMasterProtein	0	5.916	5	2	18	2	1	37.75	2	0	-	5266	5009	5707	15787	17086	17957	1335	2071	2050	0	223	7310
custom_1726089_27	custom_1726089_27	High	IsMasterProtein	0	5.915	7	2	2	2	1	5.65	2	0	-	1993	2279	1899	1185	1347	1415	570	0	0	0	415	372
custom_2228086_2	custom_2228086_2	High	IsMasterProtein	0	5.913	9	2	5	1	1	8.4	2	0	-	1639	1736	1808	234	194	0	8590	8918	0	1474	1426	1200
OHC67290.1	custom_1808909_1	High	IsMasterProtein	0	5.912	7	2	3	1	1	7.05	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_488435_1	custom_488435_1	High	IsMasterProtein	0	5.91	4	1	2	1	1	7.43	1	0	-	0	189	93	2056	1758	1604	3795	3867	3424	0	0	0
KKQ33006.1	custom_1479794_1	High	IsMasterProtein	0	5.906	4	1	4	1	1	10.7	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_967558_11	custom_967558_11	High	IsMasterProtein	0	5.904	14	2	3	1	1	6.98	2	0	-	3032	3302	3276	0	0	0	0	0	0	0	0	0
WP_059185781.1	custom_382418_13	High	IsMasterProtein	0	5.903	33	1	1	1	1	4.72	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_013396539.1	custom_1238875_1	High	IsMasterProtein	0	5.9	4	2	3	2	1	6.25	2	0	-	1424	1240	1212	0	0	430	0	271	0	0	0	0
custom_1642289_31	custom_1642289_31	High	IsMasterProtein	0	5.898	2	2	3	2	1	2.61	2	0	-	1213	1189	1096	0	0	0	11034	7888	8190	2281	2404	2593
KXS32231.1	custom_1594201_1	High	IsMasterProtein	0	5.897	3	3	8	2	1	16.61	3	0	-	872	868	576	3699	3797	3728	1601	0	0	1025	1014	2117
custom_855185_2	custom_855185_2	High	IsMasterProtein	0	5.895	20	2	3	2	1	4.58	2	0	-	2256	864	879	2179	2363	2461	0	0	0	1044	0	1296
custom_1436129_36	custom_1436129_36	High	IsMasterProtein	0	5.893	6	2	6	1	1	14.88	2	0	-	847	818	840	319	597	462	40321	23987	13342	0	0	314
EOH61413.1	custom_1159674_1	High	IsMasterProtein	0	5.893	8	2	16	1	1	34.83	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2535064_10	custom_2535064_10	High	IsMasterProtein	0	5.891	12	2	6	1	1	15.79	2	1	-	7833	6686	6914	0	0	0	0	0	0	23270	25026	25077
WP_079433130.1	custom_395549_4	High	IsMasterProtein	0	5.889	4	2	6	2	1	13.57	2	0	-	203	171	167	4620	4633	4565	0	0	0	353	0	0
WP_106750673.1	custom_2523247_2	High	IsMasterProtein	0	5.888	9	2	4	1	1	9.19	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1785399_2	custom_1785399_2	High	IsMasterProtein	0	5.887	27	2	3	2	1	7.95	2	0	-	678	655	521	0	0	0	3598	5559	10096	847	1996	1793
PKN73642.1	custom_780398_1	High	IsMasterProtein	0	5.884	10	2	10	2	1	28.93	2	0	-	916	1439	1337	3502	2464	2220	0	632	1013	1770	1370	1464
WP_062537947.1	custom_1780858_1	High	IsMasterProtein	0	5.882	2	1	6	1	1	11.38	1	0	-	411	499	420	4135	3927	4620	0	636	0	0	320	0
WP_124705369.1	custom_665904_3	High	IsMasterProtein	0	5.881	4	2	7	1	1	19.7	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
RWG58927.1	custom_478511_1	High	IsMasterProtein	0	5.88	8	2	5	1	1	11.9	2	0	-	1177	1086	1038	1981	2164	2180	0	0	0	3462	3508	3706
custom_1082297_6	custom_1082297_6	High	IsMasterProtein	0	5.877	14	2	2	2	1	5.08	2	0	-	0	0	0	0	0	590	0	0	0	0	0	0
custom_2347006_10	custom_2347006_10	High	IsMasterProtein	0	5.877	5	2	2	2	1	6.2	2	0	-	0	0	0	365	0	510	3051	439	345	2399	3012	1008
custom_1207479_31	custom_1207479_31	High	IsMasterProtein	0	5.873	30	2	3	2	1	7.12	2	0	-	2013	1953	2064	0	0	0	1008	1388	1194	0	0	0
custom_1253064_8	custom_1253064_8	High	IsMasterProtein	0	5.873	6	2	5	2	1	17.3	2	0	-	4001	5755	6095	2226	2368	1936	2637	0	2921	2227	1824	2154
WP_068173169.1	custom_1292696_1	High	IsMasterProtein	0	5.872	2	2	14	2	1	28.13	2	0	-	16150	15974	16671	25121	29542	26315	10672	5673	5542	1089	1223	1560
custom_463193_4	custom_463193_4	High	IsMasterProtein	0	5.87	4	2	12	1	1	24.93	2	0	-	211	218	0	0	752	687	0	0	0	0	0	0
custom_1231354_7	custom_1231354_7	High	IsMasterProtein	0	5.869	12	2	2	1	1	4.93	2	0	-	665	669	681	0	0	0	0	0	0	0	0	0
custom_1198088_3	custom_1198088_3	High	IsMasterProtein	0	5.869	5	1	3	1	1	12.16	1	0	-	1568	3000	0	4935	4014	3986	0	0	0	0	0	1405
custom_1248200_15	custom_1248200_15	High	IsMasterProtein	0	5.868	7	2	2	2	1	5.54	2	0	-	2171	1855	1477	3419	1771	2751	7549	8098	7719	4615	5057	5398
RWL42339.1	custom_801130_1	High	IsMasterProtein	0	5.867	4	1	3	1	1	12.27	1	0	-	0	0	0	2290	828	0	0	0	0	0	0	0
OYT21943.1	custom_2408554_5	High	IsMasterProtein	0	5.867	5	1	2	1	1	2.39	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1205286_40	custom_1205286_40	High	IsMasterProtein	0	5.866	14	2	5	2	1	10.87	2	0	-	2694	4430	2098	248	0	0	24698	25807	27967	981	0	385
WP_124150723.1	custom_542036_2	High	IsMasterProtein	0	5.864	3	2	2	1	1	4.31	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_043825048.1	custom_506125_23	High	IsMasterProtein	0	5.863	4	1	1	1	1	2.28	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_066767450.1	custom_1836443_20	High	IsMasterProtein	0	5.857	5	1	2	1	1	7.61	1	0	-	2172	2124	1502	0	0	0	0	0	0	3212	3686	0
RWO86453.1	custom_327845_120	High	IsMasterProtein	0	5.857	5	1	5	1	1	15.2	1	0	-	447	331	0	772	250	425	18653	21845	19409	616	696	719
AQT42897.1	custom_2408158_31	High	IsMasterProtein	0	5.855	8	2	4	2	1	10.6	2	0	-	0	0	0	0	0	0	0	0	0	719	974	1088
custom_1167007_24	custom_1167007_24	High	IsMasterProtein	0	5.854	20	2	2	2	1	5.13	2	0	-	931	637	0	328	1634	1941	3337	3128	3306	584	0	483
custom_1663167_23	custom_1663167_23	High	IsMasterProtein	0	5.854	14	2	2	2	1	5.91	2	0	-	0	0	0	2366	2181	1951	0	0	0	1666	1506	2746
WP_002690718.1	custom_1176188_1	High	IsMasterProtein	0	5.852	19	2	7	0	1	15.61	2	1	-	0	0	0	0	0	0	0	0	0	497	443	685
OIP11024.1	custom_1377713_1	High	IsMasterProtein	0	5.851	6	2	7	1	1	15.31	2	0	-	0	0	325	1396	1826	1574	0	0	0	741	908	715
WP_006833718.1	custom_1734887_20	High	IsMasterProtein	0	5.851	3	2	4	2	1	12.78	2	0	-	6031	6841	6548	1753	0	2328	44044	44406	43604	370	0	283
custom_1383936_7	custom_1383936_7	High	IsMasterProtein	0	5.847	14	2	4	2	1	7.99	2	0	-	832	2036	2137	414	1252	1073	0	0	0	1416	1077	1222
custom_2525317_71	custom_2525317_71	High	IsMasterProtein	0	5.847	8	2	3	2	1	7.84	2	0	-	4269	4101	4944	0	358	0	0	0	0	0	0	0
OGU04979.1	custom_381830_1	High	IsMasterProtein	0	5.845	11	2	3	1	1	5.15	2	0	-	817	927	0	1219	791	640	0	0	0	1029	0	412
custom_1926085_1	custom_1926085_1	High	IsMasterProtein	0	5.838	5	2	5	1	1	5.4	2	0	-	848	802	816	186	139	125	0	0	0	0	0	0
WP_028205129.1	custom_24958_2	High	IsMasterProtein	0	5.838	6	1	3	1	1	8.67	1	0	-	2178	2180	2419	0	0	0	1525	0	0	0	0	252
WP_048471227.1	custom_2387498_2	High	IsMasterProtein	0	5.838	6	2	4	1	1	11.61	2	0	-	347	0	0	0	0	0	0	0	0	0	0	1451
custom_2332366_4	custom_2332366_4	High	IsMasterProtein	0	5.833	10	2	5	2	1	14.14	2	0	-	0	0	0	808	2480	2620	3378	3327	3619	2649	0	1379
WP_045836594.1	custom_1358541_6	High	IsMasterProtein	0	5.827	2	2	8	1	1	19.8	2	0	-	1374	1833	2177	0	0	0	0	0	0	0	0	0
WP_048669978.1	custom_2096023_1	High	IsMasterProtein	0	5.827	10	2	5	1	1	11.94	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2072810_4	custom_2072810_4	High	IsMasterProtein	0	5.825	5	2	3	2	1	4.88	2	0	-	1206	201	0	0	0	409	20259	19736	16233	579	519	772
WP_079687809.1	custom_695036_84	High	IsMasterProtein	0	5.822	8	1	1	1	1	4.01	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_124606226.1	custom_2421513_1	High	IsMasterProtein	0	5.815	5	2	5	2	1	9.76	2	0	-	1367	1591	1237	3987	3778	4115	4277	383	3456	749	1017	478
custom_1812564_1	custom_1812564_1	High	IsMasterProtein	0	5.814	2	2	3	2	1	7.82	2	0	-	841	916	808	1851	1117	334	504	719	1030	0	1010	718
WP_057052946.1	custom_627129_1	High	IsMasterProtein	0	5.812	7	2	7	1	1	19.22	2	0	-	8931	8340	8987	5758	5746	6045	1835	2433	2458	0	805	7442
custom_1224523_28	custom_1224523_28	High	IsMasterProtein	0	5.811	15	2	4	2	1	9.51	2	0	-	4014	6388	3712	873	0	612	0	792	7022	0	1192	0
WP_037038705.1	custom_642534_1	High	IsMasterProtein	0	5.811	5	1	3	1	1	8.18	1	0	-	2006	1456	277	1182	1057	2338	2228	2324	3696	5176	6693	5542
WP_128196787.1	custom_2292160_2	High	IsMasterProtein	0	5.81	12	3	11	1	1	17.84	3	0	-	1104	1166	888	4459	2729	4318	10115	10977	8832	2501	2366	2484
custom_1216673_15	custom_1216673_15	High	IsMasterProtein	0	5.805	6	2	4	1	1	8.65	2	0	-	1492	1300	1443	1187	1078	864	4271	6456	0	0	0	0
RTL36369.1	custom_87840_1	High	IsMasterProtein	0	5.805	7	1	1	1	1	5.31	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_056667571.1	custom_1359285_2	High	IsMasterProtein	0	5.804	3	2	5	1	1	12.35	2	0	-	1680	1519	1255	3360	2427	0	6968	0	0	0	444	0
WP_056449636.1	custom_182873_2	High	IsMasterProtein	0	5.804	1	1	2	1	1	5.17	1	0	-	1739	1804	2152	0	0	0	1546	0	0	357	0	324
AGN11881.1	custom_577399_1	High	IsMasterProtein	0	5.803	0	1	6	1	1	10.16	1	0	-	0	0	0	0	265	0	14637	14015	16171	12712	13254	12935
custom_8978_12	custom_8978_12	High	IsMasterProtein	0	5.801	16	2	5	2	1	11.44	2	0	-	308	1327	1379	1425	2159	1593	3044	961	0	0	3597	623
custom_2586626_1	custom_2586626_1	High	IsMasterProtein	0	5.8	30	2	3	1	1	6.71	2	0	-	0	0	0	0	412	275	0	989	1515	1680	1344	1290
PZO02700.1	custom_1799579_11	High	IsMasterProtein	0	5.799	14	1	3	1	1	8.92	1	0	-	516	361	520	0	0	0	0	0	0	0	0	0
WP_067107252.1	custom_2149289_2	High	IsMasterProtein	0	5.798	14	3	5	1	1	11.76	3	1	-	540	2250	1408	7058	7451	7069	4982	5574	3570	1995	1756	1291
WP_012695740.1	custom_1537157_2	High	IsMasterProtein	0	5.798	5	2	4	1	1	10.19	2	0	-	7881	8060	7535	18962	20109	19918	0	0	0	0	0	0
WP_107760823.1	custom_2137486_1	High	IsMasterProtein	0	5.796	3	1	6	1	1	17.72	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1818010_58	custom_1818010_58	High	IsMasterProtein	0	5.796	4	1	2	1	1	4.01	1	0	-	1230	605	1132	350	0	0	1902	2039	0	0	0	1123
WP_079433574.1	custom_837423_6	High	IsMasterProtein	0	5.795	2	2	10	2	1	25.42	2	0	-	824	806	956	21450	17676	19063	1289	1363	1351	1129	1010	1083
WP_002923426.1	custom_478776_15	High	IsMasterProtein	0	5.794	16	2	6	1	1	14.78	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1105277_49	custom_1105277_49	High	IsMasterProtein	0	5.792	7	2	4	1	1	7.71	2	0	-	1181	1557	1856	529	475	610	0	0	0	0	0	0
custom_910135_7	custom_910135_7	High	IsMasterProtein	0	5.792	7	1	4	1	1	13.18	1	0	-	938	0	0	3527	3939	3954	0	0	1562	1377	1428	1268
custom_467586_2	custom_467586_2	High	IsMasterProtein	0	5.787	32	3	5	1	1	9.57	3	0	-	2107	2136	2313	3109	0	0	4208	535	0	1775	1793	1715
CAC83620.1	custom_2422653_56	High	IsMasterProtein	0	5.785	11	1	1	1	1	3.77	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
OGA67311.1	custom_1155769_6	High	IsMasterProtein	0	5.782	8	2	4	1	1	10.47	2	0	-	0	0	0	4537	4435	4094	0	7082	7046	1843	2213	2120
WP_121458530.1	custom_2118324_1	High	IsMasterProtein	0	5.781	3	2	2	2	1	5.96	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_076603655.1	custom_2348359_25	High	IsMasterProtein	0	5.776	8	2	5	1	1	11.84	2	0	-	0	0	0	621	5133	4652	0	0	0	0	0	0
WP_010324961.1	custom_1881402_1	High	IsMasterProtein	0	5.776	7	2	2	2	1	6.28	2	0	-	1854	1502	1703	988	650	505	1880	1143	1320	887	1526	1548
custom_562415_43	custom_562415_43	High	IsMasterProtein	0	5.773	15	1	2	1	1	9.43	1	0	-	3621	3637	3475	0	0	0	0	0	0	805	378	712
custom_2586665_22	custom_2586665_22	High	IsMasterProtein	0	5.771	6	1	4	1	1	15.82	1	0	-	2115	2598	3002	2374	2320	2389	6684	10031	9358	1665	1462	1287
PLX80068.1	custom_1396642_1	High	IsMasterProtein	0	5.771	2	2	7	1	1	14.51	2	0	-	0	0	0	0	0	0	14797	11414	11698	0	0	0
WP_018625517.1	custom_1625216_1	High	IsMasterProtein	0	5.77	5	2	3	1	1	7.74	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_126444083.1	custom_2483773_1	High	IsMasterProtein	0	5.765	5	2	3	1	1	6.35	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_130966160.1	custom_478040_1	High	IsMasterProtein	0	5.765	5	1	1	1	1	7.14	1	0	-	0	0	0	0	2144	0	0	0	0	0	0	0
custom_802408_4	custom_802408_4	High	IsMasterProtein	0	5.764	22	2	3	2	1	7.26	2	0	-	4940	5068	5559	1540	2212	1990	0	0	0	0	1137	799
custom_2536258_2	custom_2536258_2	High	IsMasterProtein	0	5.764	6	2	5	2	1	10.72	2	0	-	744	728	757	2208	1626	1656	506	903	1715	238	0	0
WP_136849059.1	custom_373058_1	High	IsMasterProtein	0	5.759	3	2	4	1	1	9.98	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_035674767.1	custom_838458_14	High	IsMasterProtein	0	5.758	14	1	5	1	1	11.62	1	0	-	3135	2877	2960	0	0	0	311	0	0	133	0	177
WP_096668981.1	custom_656663_1	High	IsMasterProtein	0	5.758	2	1	1	1	1	4.35	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_056333085.1	custom_171005_3	High	IsMasterProtein	0	5.758	10	2	8	1	1	14.04	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
OIP11015.1	custom_1636073_1	High	IsMasterProtein	0	5.756	5	2	9	1	1	25.46	2	0	-	893	0	0	0	0	0	0	4093	5554	2322	2307	2604
OZB12477.1	custom_1204324_2	High	IsMasterProtein	0	5.746	7	2	6	1	1	15.33	2	0	-	0	0	319	0	0	0	0	2282	0	4542	4655	4913
custom_2367172_7	custom_2367172_7	High	IsMasterProtein	0	5.745	5	2	4	1	1	6.08	2	1	-	4504	4378	3465	4590	3397	4806	0	857	0	5510	5325	5133
custom_1480610_2	custom_1480610_2	High	IsMasterProtein	0	5.744	8	2	8	2	1	19.8	2	0	-	1736	2846	3033	0	179	230	19470	17868	0	7676	7256	8741
WP_029046402.1	custom_1941565_4	High	IsMasterProtein	0	5.744	10	2	11	1	1	25.24	2	0	-	1377	0	2355	3202	3772	3530	0	0	0	0	0	0
WP_037016151.1	custom_274018_21	High	IsMasterProtein	0	5.74	8	2	4	1	1	9.17	2	1	-	1417	3484	3841	0	0	1499	954	1412	2485	272	0	0
custom_2370073_73	custom_2370073_73	High	IsMasterProtein	0	5.74	11	1	7	1	1	23.49	1	0	-	5685	5424	4870	5953	4506	4357	1978	1821	1840	531	777	546
WP_119110015.1	custom_1143218_1	High	IsMasterProtein	0	5.738	7	2	4	0	1	9.95	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_035969030.1	custom_193064_2	High	IsMasterProtein	0	5.737	6	2	5	2	1	11.6	2	0	-	863	616	525	1105	652	909	8974	10587	11341	888	1481	1719
WP_078121737.1	custom_255465_1	High	IsMasterProtein	0	5.734	2	2	5	1	1	11.57	2	0	-	0	0	0	645	736	813	0	0	0	0	0	0
custom_969463_7	custom_969463_7	High	IsMasterProtein	0	5.733	3	1	4	1	1	13.22	1	0	-	782	798	1172	1616	1678	1898	8512	0	991	0	0	640
custom_740615_8	custom_740615_8	High	IsMasterProtein	0	5.731	14	3	6	2	1	10.64	3	1	-	8546	7048	6928	3003	1620	1894	6501	3531	2151	0	321	0
WP_132518957.1	custom_2516009_3	High	IsMasterProtein	0	5.731	5	2	4	1	1	8.62	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2134878_10	custom_2134878_10	High	IsMasterProtein	0	5.73	18	1	2	1	1	6.44	1	0	-	1572	1545	814	2880	2249	0	0	0	0	0	0	0
custom_1971071_30	custom_1971071_30	High	IsMasterProtein	0	5.729	14	2	16	1	1	41.94	2	0	-	0	255	0	0	0	0	6224	5467	4392	0	0	234
custom_1585247_23	custom_1585247_23	High	IsMasterProtein	0	5.728	25	3	4	3	1	7.05	3	0	-	2924	2979	3696	123	0	0	6415	4710	0	2671	2280	2933
custom_2328231_8	custom_2328231_8	High	IsMasterProtein	0	5.727	4	1	3	1	1	9.69	1	0	-	632	700	715	0	0	0	2698	1991	2350	0	285	0
custom_893348_3	custom_893348_3	High	IsMasterProtein	0	5.722	4	1	3	1	1	8.26	1	0	-	0	223	1892	253	0	0	3805	4402	5598	0	161	0
custom_1017370_11	custom_1017370_11	High	IsMasterProtein	0	5.722	17	2	11	1	1	23.98	2	0	-	0	0	0	551	0	450	0	0	4515	0	0	0
WP_126458845.1	custom_912771_3	High	IsMasterProtein	0	5.717	5	2	3	1	1	7.79	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_77485_2	custom_77485_2	High	IsMasterProtein	0	5.714	9	2	5	1	1	7.87	2	0	-	9102	8903	8695	714	948	743	0	951	0	422	707	837
custom_754248_46	custom_754248_46	High	IsMasterProtein	0	5.71	11	2	3	2	1	7.98	2	0	-	6485	0	1698	0	428	523	0	9498	9692	0	0	0
TAH45532.1	custom_1940020_4	High	IsMasterProtein	0	5.708	16	2	7	1	1	16.36	2	0	-	751	955	1014	832	546	439	0	0	0	2258	2002	2175
custom_501866_21	custom_501866_21	High	IsMasterProtein	0	5.705	15	2	3	2	1	9.15	2	0	-	0	0	0	0	0	0	0	0	0	1277	1241	1383
custom_2418293_177	custom_2418293_177	High	IsMasterProtein	0	5.703	18	2	4	2	1	9.72	2	0	-	5921	5830	5603	0	504	771	818	0	0	0	0	0
WP_108893374.1	custom_1765450_2	High	IsMasterProtein	0	5.703	10	2	5	1	1	10.53	2	0	-	2250	2118	1953	0	0	0	3932	3589	0	235	0	0
custom_527357_5	custom_527357_5	High	IsMasterProtein	0	5.697	14	2	2	2	1	4.29	2	0	-	2599	2930	2681	80703	69865	80153	0	0	0	10853	13916	12201
